"sample","chromosome","group","strand","piN","piS","piN.piS","pi"
"EntNic_VAJ-C24","HiC_scaffold_2","Grassland","minus",0.000721135541712526,0.00375199073423301,0.192201,0.00578646
"EntNic_VAJ-C24","HiC_scaffold_3","Grassland","plus",0.00144001494378899,0.00802473864296522,0.179447,0.0139233
"EntNic_VAJ-C24","HiC_scaffold_3","Grassland","minus",0.00140556979903078,0.00768658332123953,0.18286,0.0139233
"EntNic_VAJ-C24","HiC_scaffold_4","Grassland","plus",0.00104671228757121,0.00722596079787232,0.144854,0.0118962
"EntNic_VAJ-C24","HiC_scaffold_4","Grassland","minus",0.00107068642901728,0.00719616734981867,0.148786,0.0118962
"EntNic_VAJ-C24","HiC_scaffold_5","Grassland","plus",0.00150901468326558,0.00825244298375958,0.182857,0.013148
"EntNic_VAJ-C24","HiC_scaffold_5","Grassland","minus",0.00145655464061092,0.00822374651759041,0.177116,0.013148
"EntNic_VAJ-C24","HiC_scaffold_6","Grassland","plus",0.000998447097006209,0.00842497552973162,0.11851,0.0113944
"EntNic_VAJ-C24","HiC_scaffold_6","Grassland","minus",0.000955511072122037,0.00786536961378417,0.121483,0.0113944
"EntNic_VAJ-C24","HiC_scaffold_7","Grassland","plus",0.0010117627476057,0.00411531727471656,0.245853,0.0243599
"EntNic_VAJ-C24","HiC_scaffold_7","Grassland","minus",0.000941378660641533,0.00394918877497041,0.238373,0.0243599
